base,mse,psnr
trained/conv_lstm_1000_20_5.h5,0.030675100118514865,63.26294372000325
trained/conv_lstm_1000_20_5.h5,0.028724669833419862,63.54825315338673
trained/conv_lstm_1000_20_5.h5,0.02737938042318607,63.756567447483874
trained/conv_lstm_1000_20_5.h5,0.026421996603809533,63.91114728465479
trained/conv_lstm_1000_20_5.h5,0.025789350230711862,64.016399607529
trained/conv_lstm_1000_10_5.h5,0.02549456563305692,64.06632743849514
trained/conv_lstm_1000_10_5.h5,0.027242221915021247,63.77837834496475
trained/conv_lstm_1000_10_5.h5,0.015388571925257855,66.25882042125268
trained/conv_lstm_1000_10_5.h5,0.0266712912992238,63.87036318160733
trained/conv_lstm_1000_10_5.h5,0.018876871154391975,65.37150349348133
trained/conv_lstm_2000_30_5.h5,0.030208820398219743,63.32946593706049
trained/conv_lstm_2000_30_5.h5,0.024230995530538223,64.28709103373508
trained/conv_lstm_2000_30_5.h5,0.02686692313228605,63.83862428085025
trained/conv_lstm_2000_30_5.h5,0.026458267125618905,63.90518964040838
trained/conv_lstm_2000_30_5.h5,0.033941771467952894,62.82345855865628
trained/conv_lstm_1000_30_5.h5,0.0291222713771414,63.48855116322751
trained/conv_lstm_1000_30_5.h5,0.023116687233582393,64.49154763786314
trained/conv_lstm_1000_30_5.h5,0.02323830999703754,64.46875820008864
trained/conv_lstm_1000_30_5.h5,0.02873857546099623,63.54615124027313
trained/conv_lstm_1000_30_5.h5,0.03427301112916223,62.781280988853254
trained/prednet_1000_10_5.h5,0.04619840047213749,61.484534216353765
trained/prednet_1000_10_5.h5,0.043367965142940834,61.759113156599945
trained/prednet_1000_10_5.h5,0.032699549827121734,62.98538587074374
trained/prednet_1000_10_5.h5,0.03398517706612477,62.81790823886646
trained/prednet_1000_10_5.h5,0.049577782658557126,61.17793261604466
trained/prednet_1000_20_5.h5,0.051885166246846894,60.98037148259416
trained/prednet_1000_20_5.h5,0.03057449989683847,63.277209988004614
trained/prednet_1000_20_5.h5,0.035234542171927875,62.66111728102515
trained/prednet_1000_20_5.h5,0.0443605558426623,61.66083381598889
trained/prednet_1000_20_5.h5,0.04748571546329425,61.36517375000192
trained/prednet_1000_30_5.h5,0.033465802840761144,62.88479112728747
trained/prednet_1000_30_5.h5,0.04052755343906569,62.05329973755481
trained/prednet_1000_30_5.h5,0.04488497603482493,61.6097936322872
trained/prednet_1000_30_5.h5,0.02690021758414633,63.833245680323444
trained/prednet_1000_30_5.h5,0.04310782604135301,61.7852423924461
trained/prednet_1000_40_5.h5,0.03421673024411723,62.78841854925961
trained/prednet_1000_40_5.h5,0.03572175933138468,62.60147520699096
trained/prednet_1000_40_5.h5,0.02694780340306247,63.82556990558821
trained/prednet_1000_40_5.h5,0.03684000472949883,62.46760683588617
trained/prednet_1000_40_5.h5,0.04690564831898165,61.41855217810306
trained/prednet_2000_30_5.h5,0.039064003685625834,62.213036086168565
trained/prednet_2000_30_5.h5,0.03160626395543229,63.133071981328285
trained/prednet_2000_30_5.h5,0.03245018486571379,63.0186318558882
trained/prednet_2000_30_5.h5,0.043734544382176756,61.722557543768666
trained/prednet_2000_30_5.h5,0.033266806812348684,62.91069244709976
